time,acceleration_x,acceleration_y,acceleration_z
32030,1.055,1.148,0.419
32060,1.058,1.152,2.313
32089,1.061,1.155,2.445
32117,1.058,1.148,0.468
32147,1.055,1.148,0.426
32176,1.058,1.152,2.377
32205,1.055,1.152,2.452
32234,1.055,1.152,0.458
32264,1.055,1.148,0.435
32292,1.058,1.152,2.384
32322,1.058,1.148,2.4
32351,1.055,1.152,0.461
32379,1.055,1.152,0.416
32409,1.058,1.155,2.387
32438,1.055,1.148,2.194
32467,1.052,1.152,0.458
32496,1.055,1.148,0.41
32526,1.061,1.155,2.403
32555,1.061,1.155,1.994
32583,1.055,1.155,0.445
32613,1.052,1.152,0.4
32642,1.055,1.155,2.397
32671,1.058,1.148,1.729
32700,1.055,1.145,0.455
32730,1.052,1.152,0.426
32758,1.055,1.155,2.4
32788,1.058,1.148,1.523
32817,1.055,1.145,0.448
32845,1.052,1.152,0.406
32875,1.061,1.148,2.426
32904,1.058,1.148,1.429
32933,1.052,1.155,0.439
32962,1.058,1.148,0.768
32992,1.061,1.155,2.419
33020,1.052,1.155,1.1
33049,1.052,1.145,0.448
33079,1.055,1.148,0.974
33107,1.058,1.148,2.4
33137,1.055,1.152,0.916
33166,1.055,1.148,0.452
33196,1.058,1.152,1.261
33224,1.061,1.152,2.416
33254,1.058,1.148,0.832
33283,1.052,1.155,0.445
33311,1.055,1.155,1.481
33341,1.058,1.152,2.419
33370,1.052,1.145,0.848
33399,1.055,1.148,0.442
33428,1.058,1.148,1.774
33458,1.058,1.155,2.413
33486,1.058,1.148,0.574
33515,1.048,1.155,0.432
33545,1.058,1.152,2.2
33573,1.055,1.158,2.448
33603,1.055,1.148,0.477
33632,1.052,1.148,0.435
33661,1.055,1.152,2.361
33690,1.055,1.155,2.448
33720,1.058,1.148,0.455
33748,1.055,1.148,0.435
33777,1.058,1.152,2.381
33807,1.058,1.155,2.419
33836,1.055,1.148,0.461
33865,1.052,1.148,0.419
33894,1.058,1.155,2.381
33924,1.058,1.152,2.265
33952,1.052,1.155,0.461
33981,1.055,1.148,0.41
34011,1.055,1.152,2.387
34039,1.058,1.148,1.955
34069,1.055,1.152,0.455
34098,1.055,1.148,0.413
34127,1.058,1.152,2.39
34156,1.061,1.152,2.352
34186,1.058,1.152,0.455
34214,1.058,1.152,0.41
34243,1.061,1.152,2.397
34273,1.055,1.152,2.003
34301,1.055,1.148,0.455
34331,1.052,1.152,0.406
34360,1.055,1.152,2.41
34390,1.058,1.148,1.523
34418,1.052,1.152,0.429
34447,1.055,1.152,0.89
34477,1.058,1.152,2.419
34505,1.055,1.148,1.565
34535,1.052,1.152,0.445
34564,1.055,1.152,1.239
34593,1.058,1.152,2.394
34622,1.058,1.148,0.971
34652,1.055,1.148,0.452
34680,1.058,1.155,1.594
34709,1.065,1.152,2.406
34739,1.055,1.152,0.952
34767,1.055,1.148,0.432
34797,1.055,1.152,1.4
34826,1.055,1.152,2.423
34855,1.052,1.155,0.748
34884,1.058,1.145,0.445
34913,1.055,1.155,1.91
34942,1.058,1.152,2.426
34971,1.055,1.145,0.626
35001,1.052,1.148,0.445
35030,1.055,1.158,2.065
35059,1.061,1.152,2.432
35088,1.048,1.152,0.526
35118,1.052,1.152,0.432
35146,1.055,1.155,2.358
35175,1.058,1.152,2.442
35205,1.055,1.152,0.468
35233,1.048,1.148,0.435
35263,1.058,1.152,2.377
35292,1.058,1.155,2.416
35321,1.058,1.148,0.465
35350,1.055,1.148,0.419
35379,1.058,1.152,2.387
35408,1.055,1.152,2.245
35437,1.058,1.155,0.455
35467,1.055,1.148,0.416
35495,1.055,1.158,2.387
35525,1.058,1.152,2.439
35554,1.058,1.152,0.455
35584,1.058,1.152,0.406
35612,1.058,1.155,2.394
35641,1.061,1.152,2.416
35671,1.052,1.152,0.452
35699,1.055,1.152,0.545
35729,1.058,1.155,2.387
35758,1.061,1.152,1.665
35787,1.055,1.152,0.455
35816,1.055,1.148,0.413
35845,1.058,1.148,2.394
35874,1.058,1.155,1.51
35903,1.055,1.145,0.445
35933,1.055,1.148,0.635
